CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
543	SHUTTLE	Clothing and grooming	Person/Thing		n
544	SPICY	Food and drink	Property		a
545	SPRUCE	Agriculture and vegetation	Person/Thing		n
546	SUCKER	Agriculture and vegetation	Person/Thing		n
547	SURFACE	The physical world	Person/Thing		n
548	INFECTED	The body	Property		a
549	COPULATE	The body	Action/Process	i28863	v
550	DILUTE	The physical world	Action/Process		v
551	DISLOCATE	The body	Action/Process		v
552	GROW UP	Cognition	Action/Process		v
553	HEW	The physical world	Action/Process		v
554	HINDER	The physical world	Action/Process		v
555	INFRINGE	Law	Action/Process		v
556	MARRY OFF	Kinship	Action/Process		v
557	OFFEND	Social and political relations	Action/Process		v
558	PASS BY	Motion	Action/Process		v
559	BROTHER (OF MAN)	Kinship	Person/Thing		n
560	BROTHER (OF WOMAN)	Kinship	Person/Thing		n
561	SISTER (OF MAN)	Kinship	Person/Thing		n
562	SISTER (OF WOMAN)	Kinship	Person/Thing		n
563	YOUNG (OF WOMAN)	Time	Property		a
564	YOUNG (OF MAN)	Time	Property		a
565	OLD (OF MAN)	Time	Property		a
566	OLD (OF WOMAN)	Time	Property		a
567	REBEL	Social and political relations	Action/Process		v
568	RISE (MOVE UPWARDS)	The physical world	Action/Process		v
569	SPOIL (BECOME SPOILED)	Food and drink	Action/Process		v
570	STAND UP	Motion	Action/Process		v
571	STING	The body	Action/Process		v
572	STREW	Motion	Action/Process		v
573	SWAY	Motion	Action/Process		v
574	TRANSIT	Motion	Action/Process		v
575	TREAD	Motion	Action/Process		v
576	DANDRUFF	The body	Person/Thing	i85300	n
577	FOREFINGER	The body	Person/Thing		n
578	KISS	Emotions and values	Action/Process	i28884	v
579	BATTLE	Warfare and hunting	Person/Thing	i40416	n
580	FUR	The body	Person/Thing	i54103	n
581	COME BACK	Motion	Action/Process	i26393	v
582	LEND	Possession	Action/Process	i33357	v
583	KIND OR POLITE	Emotions and values	Property		a
584	DIFFICULT	Cognition	Property	i4128	a
585	BOOT	Clothing and grooming	Person/Thing	i50969	n
586	GARDEN	Agriculture and vegetation	Person/Thing	i54179	n
587	ANT	Animals	Person/Thing	i47162	n
588	BROKEN	Basic actions and technology	Property		a
589	CLOSED	Spatial relations	Property		a
590	NAKED	The body	Property		a
591	ADDRESS	Modern world	Person/Thing	i72154	n
592	PISS	The body	Action/Process	i22135	v
593	POTATO	Agriculture and vegetation	Person/Thing	i77515	n
594	PIECE	Quantity	Person/Thing	i85946	n
595	GROUNDNUT (PEANUT)	Agriculture and vegetation	Person/Thing		n
596	POSTAGE STAMP	Modern world	Person/Thing	i72199	n
597	PHYSICIAN	The body	Person/Thing	i89560	n
598	SHELL	Animals	Person/Thing	i45341	n
599	DRIVER'S LICENSE	Modern world	Person/Thing	i70885	n
600	STRANGE	Cognition	Property		a
601	LIE (MISLEAD)	Emotions and values	Action/Process	i25821	v
602	HIDE (CONCEAL)	Spatial relations	Action/Process	i32478	v
603	COAT	Clothing and grooming	Person/Thing	i52086	n
604	GLASS	Basic actions and technology	Person/Thing	i115274	n
605	GRAIN	Agriculture and vegetation	Person/Thing	i100955	n
606	GRASS	Agriculture and vegetation	Person/Thing	i100749	n
607	GRASSHOPPER	Animals	Person/Thing	i47202	n
608	GULF	The physical world	Person/Thing		n
609	HAIL	The physical world	Person/Thing		n
610	PORT	Motion	Person/Thing	i82351	n
611	HARVEST	Agriculture and vegetation	Person/Thing	i105478	n
612	HEAT	The physical world	Person/Thing		n
613	HIGH TIDE	The physical world	Person/Thing	i75602	n
614	HILL	The physical world	Person/Thing		n
615	HORSE	Animals	Person/Thing	i48054	n
616	HOSPITAL	Modern world	Person/Thing	i79536	n
617	ICE	The physical world	Person/Thing	i115475	n
618	PRECIPICE	The physical world	Person/Thing	i86009	n
619	ANIMAL	Animals	Person/Thing	i35563	n
620	INSECT	Animals	Person/Thing	i46823	n
621	IRON	Basic actions and technology	Person/Thing	i113955	n
622	ISLAND	The physical world	Person/Thing	i85597	n
623	LAGOON	The physical world	Person/Thing	i85646	n
624	LAKE	The physical world	Person/Thing	i85647	n
625	LAMP	The house	Person/Thing		n
626	LAND	The physical world	Person/Thing	i85674	n
627	LEAD (CHEMICAL ELEMENT)	Basic actions and technology	Person/Thing	i113959	n
628	LEAF	Agriculture and vegetation	Person/Thing	i105656	n
629	LEATHER	Clothing and grooming	Person/Thing	i114554	n
630	LIGHT (RADIATION)	The physical world	Person/Thing	i63372	n
631	LIVESTOCK	Animals	Person/Thing	i45231	n
632	LIZARD	Animals	Person/Thing	i44099	n
633	MARKET	Possession	Person/Thing	i56021	n
634	MEAT	Food and drink	Person/Thing	i77100	n
635	MILK	Food and drink	Person/Thing	i78383	n
636	MILL	Food and drink	Person/Thing	i56244	n
637	MOSS	Agriculture and vegetation	Person/Thing		n
638	MOTORCYCLE	Modern world	Person/Thing	i56397	n
639	MOUNTAIN	The physical world	Person/Thing		n
640	MUD	The physical world	Person/Thing	i115732	n
641	MUSHROOM	Agriculture and vegetation	Person/Thing	i105062	n
642	MUSIC	Modern world	Person/Thing	i66963	n
643	NEED (NOUN)	Cognition	Person/Thing		n
644	OAK	Agriculture and vegetation	Person/Thing	i101533	n
645	OCEAN	The physical world	Person/Thing	i85897	n
646	ASH	The physical world	Person/Thing	i114622	n
647	PAINT (PIGMENTS)	Basic actions and technology	Person/Thing	i56905	n
648	PAPER	Speech and language	Person/Thing	i115832	n
649	PASTURE	Animals	Person/Thing	i82264	n
650	PETROLEUM	Modern world	Person/Thing	i115868	n
651	SEAL	Animals	Person/Thing		n
652	PLAIN	The physical world	Person/Thing	i85985	n
653	PLANT (VEGETATION)	Agriculture and vegetation	Person/Thing	i35564	n
654	PLASTIC	Modern world	Person/Thing	i113706	n
655	POISON	The body	Person/Thing	i116156	n
656	POLICE	Modern world	Person/Thing	i80241	n
657	PRICE	Possession	Person/Thing	i106591	n
658	RAIN (PRECIPITATION)	The physical world	Person/Thing	i98034	n
659	REED	Agriculture and vegetation	Person/Thing		n
660	REEF	The physical world	Person/Thing	i86050	n
661	RELIGION	Religion and belief	Person/Thing	i79689	n
662	BATTERY	Modern world	Person/Thing	i50578	n
663	BAY	The physical world	Person/Thing	i85052	n
664	RESIN	The physical world	Person/Thing		n
665	BEE	Animals	Person/Thing	i47086	n
666	RIVER	The physical world	Person/Thing		n
667	ROAD	Motion	Person/Thing	i58206	n
668	ROCK	The physical world	Person/Thing		n
669	RODENT	Animals	Person/Thing		n
670	ROOT	Agriculture and vegetation	Person/Thing	i105618	n
671	SAND	The physical world	Person/Thing	i116081	n
672	EARLY	Time	Property	i18767	r
673	SCHOOL	Cognition	Person/Thing	i58518	n
674	MOUTH	The body	Person/Thing	i64824	n
675	FAECES (EXCREMENT)	The body	Person/Thing		n
676	SHIT (DEFECATE)	The body	Action/Process	i22143	v
677	AXE	Basic actions and technology	Person/Thing	i50301	n
678	BEARD	The body	Person/Thing	i64611	n
679	BRIGHT	Sense perception	Property	i1557	a
680	BREAK (DESTROY OR GET DESTROYED)	Basic actions and technology	Action/Process	i23409	v
681	DESTROY	Possession	Action/Process	i29552	v
682	SIDE	Spatial relations	Person/Thing	i82421	n
683	PERSON	Kinship	Person/Thing	i35562	n
684	OWN	Possession	Action/Process	i32775	v
685	DECIDE	Cognition	Action/Process		v
686	EASY	Cognition	Property		a
687	NOTHING	Miscellaneous function words	Other		n
688	LUNG	The body	Person/Thing	i65286	n
689	BETWEEN	Spatial relations	Other		n
690	BOTTOM	The physical world	Person/Thing	i81780	n
691	SEASON	Time	Person/Thing	i117307	n
692	BRING	Motion	Action/Process	i32134	v
693	FROM	Spatial relations	Other		n
694	GET	Possession	Action/Process	i32803	v
695	GO	Motion	Action/Process	i30898	v
696	STIR	Food and drink	Action/Process		v
697	CONTAIN	Possession	Action/Process		v
698	WISE	Cognition	Property	i14261	a
699	SAD	Emotions and values	Property		a
700	CARRY	Motion	Action/Process	i28975	v
701	SLOW	Time	Property	i19235	r
702	CATCH	Motion	Action/Process	i28924	v
703	SOON	Time	Other	i18335	r
704	CLEAN	Sense perception	Property	i2367	a
705	GO UP (ASCEND)	Motion	Action/Process	i31577	v
706	DARK	Sense perception	Property	i2320	a
707	REMEMBER	Cognition	Action/Process	i24799	v
708	SHINE	Sense perception	Action/Process	i35500	v
709	TEACH	Cognition	Action/Process	i25800	v
710	WHEEL	Motion	Person/Thing	i61096	n
711	TALL	Spatial relations	Property	i13205	a
712	RICH	Possession	Property	i11080	a
713	STEAL	Law	Action/Process	i33345	v
714	SEED	Agriculture and vegetation	Person/Thing	i98741	n
715	SHOUT	Speech and language	Action/Process	i26175	v
716	GROAN	Emotions and values	Action/Process	i26799	v
717	SWEET	Sense perception	Property	i13117	a
718	PAY	Possession	Action/Process	i32996	v
719	FIND	Possession	Action/Process	i33162	v
720	GOOD LUCK	Emotions and values	Person/Thing	i113064	n
721	LOW	Spatial relations	Property	i20838	r
722	ATTACK	Warfare and hunting	Person/Thing	i39474	n
723	PLACE (POSITION)	Spatial relations	Person/Thing	i82294	n
724	READ	Speech and language	Action/Process	i24875	v
725	OLD PERSON	Kinship	Person/Thing		n
726	WHILE	Time	Person/Thing		n
727	WHICH	Cognition	Other		n
728	FIRST	Quantity	Other	i5535	a
729	DAWN	Time	Person/Thing	i116932	n
730	SNAKE	Animals	Person/Thing	i44390	n
731	BEVERAGE	Food and drink	Person/Thing	i78658	n
732	YOUR (SINGULAR)	Possession	Other		n
733	EARN	Possession	Action/Process	i33178	v
734	MAKE	Basic actions and technology	Action/Process	i29865	v
735	OWL	Animals	Person/Thing	i43831	n
736	YARD	The house	Person/Thing	i52436	n
737	LIGHT (IGNITE)	The physical world	Action/Process	i35480	v
738	THING	Possession	Person/Thing	i35548	n
739	FEED	Food and drink	Action/Process		v
740	SHIP	Motion	Person/Thing	i58798	n
741	DRIVE	Motion	Action/Process	i31374	v
742	END (OF SPACE)	Spatial relations	Person/Thing	i81999	n
743	END (OF TIME)	Time	Person/Thing	i75008	n
744	EGG	Food and drink	Person/Thing	i78362	n
745	SHELF	The house	Person/Thing	i58775	n
746	SHOP	Possession	Person/Thing		n
747	BICYCLE	Modern world	Person/Thing	i50735	n
748	SOW SEEDS	Agriculture and vegetation	Action/Process	i29226	v
749	ENTER	Motion	Action/Process	i31821	v
750	DROP	Motion	Action/Process		v
751	SHRUB	Agriculture and vegetation	Person/Thing		n
752	STORE	Possession	Person/Thing	i58835	n
753	PUPIL (STUDENT)	Cognition	Person/Thing	i93383	n
754	HURRY	Time	Action/Process	i24017	v
755	DENY	Speech and language	Action/Process	i32809	v
756	DEPEND	Social and political relations	Action/Process		v
757	BUTTON	Clothing and grooming	Person/Thing	i51314	n
758	HERON	Animals	Person/Thing	i45917	n
759	SILVER	Basic actions and technology	Person/Thing	i114005	n
760	KNOT	Basic actions and technology	Person/Thing	i55444	n
761	COVER	Spatial relations	Action/Process	i28352	v
762	OUTSIDE	Spatial relations	Other		n
763	SKIN	The body	Person/Thing	i45286	n
764	SUIT	Clothing and grooming	Action/Process		v
765	MOVE	Motion	Action/Process	i30960	v
766	MENSTRUATION	The body	Person/Thing		n
767	CORPSE	The body	Person/Thing	i64386	n
768	LUNCH	Food and drink	Person/Thing	i76567	n
769	ROOF	The house	Person/Thing	i58260	n
770	EARRING	Clothing and grooming	Person/Thing	i53288	n
771	HAT	Clothing and grooming	Person/Thing		n
772	BELT	Clothing and grooming	Person/Thing	i50691	n
773	HAVE	Possession	Action/Process	i32770	v
774	CABBAGE	Agriculture and vegetation	Person/Thing		n
775	TRUMPET	Speech and language	Person/Thing		n
776	TRUNK OF TREE	Agriculture and vegetation	Person/Thing		n
777	FLUTE	Speech and language	Person/Thing	i53908	n
778	SMOKE (EXHAUST)	The physical world	Person/Thing	i107952	n
779	PART	Quantity	Person/Thing	i57017	n
780	OUR	Miscellaneous function words	Other		n
781	FEAR (FRIGHT)	Emotions and values	Person/Thing	i76269	n
782	DEFEAT	Warfare and hunting	Person/Thing	i76016	n
783	VICTORY	Warfare and hunting	Person/Thing	i76005	n
784	SNOW	The physical world	Person/Thing	i98073	n
785	STRONG	The body	Property	i12857	a
786	SAILCLOTH	Motion	Person/Thing	i58403	n
787	SAIL	Motion	Action/Process	i31452	v
788	SOAP	Clothing and grooming	Person/Thing	i59162	n
789	PEOPLE	Social and political relations	Person/Thing	i80034	n
790	READY	Time	Property	i10587	a
791	STRANGER	Social and political relations	Person/Thing	i93353	n
792	BOIL (OF LIQUID)	Food and drink	Action/Process	i23610	v
793	BOIL (OF SKIN)	The body	Person/Thing	i111429	n
794	PEN	Speech and language	Person/Thing	i57103	n
795	TROUT	Animals	Person/Thing		n
796	NIPPLE	The body	Person/Thing	i66107	n
797	TESTICLES	The body	Person/Thing	i65957	n
798	JAW	The body	Person/Thing	i66064	n
799	WRIST	The body	Person/Thing	i66265	n
800	THIGH	The body	Person/Thing		n
801	RIB	The body	Person/Thing	i64703	n
802	ADAM'S APPLE	The body	Person/Thing		n
803	ANKLE	The body	Person/Thing	i66230	n
804	WOMB	The body	Person/Thing	i65929	n
805	SPINE	The body	Person/Thing	i66280	n
806	BLANKET	The house	Person/Thing	i50831	n
807	SKILLED	Basic actions and technology	Property		a
808	DRIP (FALL IN GLOBULES)	Motion	Action/Process		v
809	TROUSERS	Clothing and grooming	Person/Thing	i60589	n
810	LOCUST	Animals	Person/Thing		n
811	SOUL	Religion and belief	Person/Thing	i93206	n
812	SLAVE	Social and political relations	Person/Thing	i93053	n
813	DO	Basic actions and technology	Action/Process	i21819	v
814	DRESS UP	Clothing and grooming	Action/Process		v
815	GOVERNMENT	Modern world	Person/Thing	i79516	n
816	HALF	Quantity	Person/Thing	i109054	n
817	THEY	Kinship	Other		n
818	WILLOW	Agriculture and vegetation	Person/Thing		n
819	STOMACH	The body	Person/Thing	i65328	n
820	LAMB	Animals	Person/Thing	i48296	n
821	POPLAR	Agriculture and vegetation	Person/Thing		n
822	HOW MANY	Cognition	Other		n
823	SORCERER	Religion and belief	Person/Thing		n
824	WITCH	Religion and belief	Person/Thing		n
825	AWAKE	The body	Property		a
826	BRANCH (BIFURCATION)	The physical world	Person/Thing		n
827	ROLL	Motion	Action/Process	i31036	v
828	RACCOON	Animals	Person/Thing	i48857	n
829	RAFTER	The house	Person/Thing	i57914	n
830	SOOT	The physical world	Person/Thing		n
831	BASE	Spatial relations	Person/Thing		n
832	BEAN	Agriculture and vegetation	Person/Thing	i77610	n
833	ENDURE	Basic actions and technology	Action/Process		v
834	BUTTOCKS	The body	Person/Thing	i66132	n
835	CHAPTER	Speech and language	Person/Thing		n
836	SCREWDRIVER	Modern world	Person/Thing	i58565	n
837	BLUE	Sense perception	Property		a
838	REMAINS	Spatial relations	Person/Thing	i109481	n
839	ERR	Cognition	Action/Process		v
840	CORMORANT	Animals	Person/Thing	i46191	n
841	FISHING SPEAR	Warfare and hunting	Person/Thing		n
842	LIQUOR	Food and drink	Person/Thing		n
843	SPIDER	Animals	Person/Thing	i44602	n
844	KIND (THING)	Cognition	Person/Thing		n
845	MURDER	Law	Person/Thing	i36562	n
846	TIGER	Animals	Person/Thing		n
847	THIRSTY	Food and drink	Property		a
848	THIRST	Food and drink	Person/Thing		n
849	SPRING (OF WATER)	The physical world	Person/Thing		n
850	SQUARE	Spatial relations	Person/Thing	i109861	n
851	STABLE	Animals	Person/Thing	i59455	n
852	PRIEST	Religion and belief	Person/Thing	i92230	n
853	ALTAR	Religion and belief	Person/Thing	i49947	n
854	KETTLE	Food and drink	Person/Thing	i55356	n
855	SEIZE	Possession	Action/Process	i27702	v
856	HIRE	Possession	Action/Process	i33789	v
857	STONE	The physical world	Person/Thing		n
858	STORM	The physical world	Person/Thing	i97824	n
859	STOVE	The house	Person/Thing	i59646	n
860	CAUSE	Cognition	Person/Thing	i75195	n
861	JUDGE	Law	Person/Thing	i90808	n
862	SUGAR	Food and drink	Person/Thing	i78493	n
863	EDGE	Spatial relations	Person/Thing	i53302	n
864	PUMPKIN	Agriculture and vegetation	Person/Thing	i77548	n
865	FAME	Social and political relations	Person/Thing		n
866	WIN	Social and political relations	Action/Process		v
867	GLOVE	Clothing and grooming	Person/Thing	i54319	n
868	BANANA	Agriculture and vegetation	Person/Thing	i77804	n
869	BLADE	Warfare and hunting	Person/Thing		n
870	BREATH	The body	Person/Thing		n
871	RATTLESNAKE	Animals	Person/Thing		n
872	TAR	The physical world	Person/Thing		n
873	TAX	Possession	Person/Thing	i106626	n
874	CANDY	Modern world	Person/Thing	i76717	n
875	SHOEMAKER	Clothing and grooming	Person/Thing	i89051	n
876	ARCH	The house	Person/Thing	i50126	n
877	MASON	The house	Person/Thing	i91241	n
878	HELL	Religion and belief	Person/Thing	i66491	n
879	COUGH	The body	Action/Process	i21795	v
880	REPEAT	Speech and language	Action/Process		v
881	TAILOR	Clothing and grooming	Person/Thing	i93526	n
882	PARROT	Animals	Person/Thing	i44868	n
883	TERMITE	Animals	Person/Thing	i47185	n
884	SHARE	Possession	Action/Process	i33205	v
885	OPPOSITE	Miscellaneous function words	Property		a
886	PARAKEET	Animals	Person/Thing		n
887	BITTER	Sense perception	Property		a
888	POISONOUS	The body	Property		a
889	FLAME	The physical world	Person/Thing	i107576	n
890	MULE	Animals	Person/Thing	i48168	n
891	TIDE	The physical world	Person/Thing	i75606	n
892	TIME	Time	Person/Thing	i35582	n
893	TIN (METAL)	Basic actions and technology	Person/Thing		n
894	TOAD	Animals	Person/Thing		n
895	TORTOISE	Animals	Person/Thing		n
896	ANACONDA (WATER BOA)	Animals	Person/Thing		n
897	SWALLOW	Food and drink	Action/Process	i27632	v
898	TRADE	Possession	Action/Process		v
899	PRESIDENT	Modern world	Person/Thing	i92215	n
900	TRAIN	Modern world	Person/Thing	i60459	n
901	ADOBE	The house	Person/Thing	i49842	n
902	ADULTERY	Law	Person/Thing	i39859	n
903	ASPEN	Agriculture and vegetation	Person/Thing		n
904	BERRY	Agriculture and vegetation	Person/Thing		n
905	BORING	Emotions and values	Property		a
906	TREE	Agriculture and vegetation	Person/Thing	i105570	n
907	OLD WOMAN	Kinship	Person/Thing	i91730	n
908	DRUM	Speech and language	Person/Thing	i53209	n
909	GARBAGE	Modern world	Person/Thing		n
910	DEATH	The body	Person/Thing		n
911	TEMPLE	Religion and belief	Person/Thing	i60098	n
912	COYOTE	Animals	Person/Thing	i46553	n
913	CROW	Animals	Person/Thing	i43582	n
914	SCULPTOR	Basic actions and technology	Person/Thing	i92801	n
915	SINK (BASIN)	Modern world	Person/Thing	i58968	n
916	LINEN	Clothing and grooming	Person/Thing	i55716	n
917	ORNAMENT	Clothing and grooming	Person/Thing	i49843	n
918	INCLINATION	Emotions and values	Person/Thing		n
919	CHILI PEPPER	Agriculture and vegetation	Person/Thing	i77587	n
920	GRAPE	Agriculture and vegetation	Person/Thing	i77835	n
921	VALLEY	The physical world	Person/Thing	i86379	n
922	PEAR	Agriculture and vegetation	Person/Thing		n
923	LOVE	Emotions and values	Action/Process	i30612	v
924	VEGETABLES	Agriculture and vegetation	Person/Thing	i77501	n
925	CASSAVA	Agriculture and vegetation	Person/Thing	i104691	n
926	RICE	Agriculture and vegetation	Person/Thing	i100875	n
927	MANIOC	Agriculture and vegetation	Person/Thing		n
928	EMBRACE	Emotions and values	Action/Process	i28854	v
929	VERMIN	Animals	Person/Thing		n
930	VILLAGE	Social and political relations	Person/Thing	i82515	n
931	MILLET	Agriculture and vegetation	Person/Thing	i100932	n
932	BARLEY	Agriculture and vegetation	Person/Thing	i100860	n
933	WALL (OF HOUSE)	The house	Person/Thing		n
934	BUFFALO	Animals	Person/Thing	i48270	n
935	WAR	Warfare and hunting	Person/Thing		n
936	STALLION	Animals	Person/Thing	i48069	n
937	BIRD	Animals	Person/Thing	i43203	n
938	MARE	Animals	Person/Thing	i48072	n
939	HORN (INSTRUMENT)	Speech and language	Person/Thing		n
940	STRAIN	Food and drink	Action/Process		v
941	MEAD	Food and drink	Person/Thing	i78707	n
942	HONEY	Food and drink	Person/Thing	i78491	n
943	WATERFALL	The physical world	Person/Thing	i86414	n
